Species;BirdLife_Species;AvibaseID_BirdLife;eBird_Species;AvibaseID_eBird;BirdTree_Species;IUCN_Species;ID_IUCN;URL_IUCN;IUCN_Status
Galbula albirostris;Galbula albirostris;AVIBASE-CF872D1D;Galbula albirostris;AVIBASE-3F3135FF;Galbula albirostris;Galbula albirostris;22727035;https://www.iucnredlist.org/details/22727035/0;LC
Galbula dea;Galbula dea;AVIBASE-FBD3D390;Galbula dea;AVIBASE-FBD3D390;Galbula dea;Galbula dea;22682221;https://www.iucnredlist.org/details/22682221/0;LC
Gallicolumba luzonica;Gallicolumba luzonica;AVIBASE-804BBC8C;Gallicolumba luzonica;AVIBASE-804BBC8C;Gallicolumba luzonica;Gallicolumba luzonica;22690979;https://www.iucnredlist.org/details/22690979/0;NT
Gallicolumba tristigmata;Gallicolumba tristigmata;AVIBASE-F991F61F;Gallicolumba tristigmata;AVIBASE-F991F61F;Gallicolumba tristigmata;Gallicolumba tristigmata;22691014;https://www.iucnredlist.org/details/22691014/0;LC
Gallus gallus;Gallus gallus;AVIBASE-3749777E;Gallus gallus;AVIBASE-3749777E;Gallus gallus;Gallus gallus;22679199;https://www.iucnredlist.org/details/22679199/0;LC
Garrulax lugubris;Garrulax lugubris;AVIBASE-4B1B2550;Melanocichla lugubris;AVIBASE-4B1B2550;Garrulax lugubris;Melanocichla lugubris;22715614;https://www.iucnredlist.org/details/22715614/0;LC
Garrulax mitratus;Garrulax mitratus;AVIBASE-6E91359B;Pterorhinus mitratus;AVIBASE-6E91359B;Garrulax mitratus;Pterorhinus mitratus;103872287;https://www.iucnredlist.org/details/103872287/0;NT
Garrulax palliatus;Garrulax palliatus;AVIBASE-0C83FC88;Garrulax palliatus;AVIBASE-0C83FC88;Garrulax palliatus;Garrulax palliatus;22715589;https://www.iucnredlist.org/details/22715589/0;NT
Geotrygon montana;Geotrygon montana;AVIBASE-4817EC01;Geotrygon montana;AVIBASE-4817EC01;Geotrygon montana;Geotrygon montana;22690966;https://www.iucnredlist.org/details/22690966/0;LC
Glyphorynchus spirurus;Glyphorynchus spirurus;AVIBASE-B7517CD1;Glyphorynchus spirurus;AVIBASE-B7517CD1;Glyphorynchus spirurus;Glyphorynchus spirurus;22703043;https://www.iucnredlist.org/details/22703043/0;LC
Gracula religiosa;Gracula religiosa;AVIBASE-B2741AD0;Gracula religiosa;AVIBASE-5CF6F8EB;Gracula religiosa;Gracula religiosa;103878755;https://www.iucnredlist.org/details/103878755/0;LC
Grallaria varia;Grallaria varia;AVIBASE-83213F7A;Grallaria varia;AVIBASE-83213F7A;Grallaria varia;Grallaria varia;22703246;https://www.iucnredlist.org/details/22703246/0;LC
Guiraca caerula;Passerina caerulea;AVIBASE-A7A75EA1;Passerina caerulea;AVIBASE-A7A75EA1;Passerina caerulea;Passerina caerulea;22723939;https://www.iucnredlist.org/details/22723939/0;LC
Gymnocrex rosenbergii;Gymnocrex rosenbergii;AVIBASE-87A94D23;Gymnocrex rosenbergii;AVIBASE-87A94D23;Gymnocrex rosenbergii;Gymnocrex rosenbergii;22692604;https://www.iucnredlist.org/details/22692604/0;VU
Gymnopithys bicolor;Gymnopithys bicolor;AVIBASE-0351F4F2;Gymnopithys bicolor;AVIBASE-0351F4F2;Gymnopithys leucaspis;Gymnopithys bicolor;22730409;https://www.iucnredlist.org/details/22730409/0;LC
Gymnopithys leucaspis;Gymnopithys leucaspis;AVIBASE-235DE47B;Gymnopithys leucaspis;AVIBASE-235DE47B;Gymnopithys leucaspis;Gymnopithys leucaspis;22730404;https://www.iucnredlist.org/details/22730404/0;LC
